Date,Open,High,Low,Close,Volume
16-Dec-24,"1,200.95","1,210.50","1,163.65","1,168.05","27,17,545"
13-Dec-24,"1,220.00","1,252.30","1,179.30","1,198.40","68,93,497"
12-Dec-24,"1,143.85","1,249.00","1,124.20","1,217.95","1,08,21,668"
11-Dec-24,"1,171.00","1,189.45","1,143.00","1,148.05","26,66,340"
10-Dec-24,"1,224.95","1,224.95","1,165.35","1,176.65","30,96,278"
09-Dec-24,"1,210.65","1,236.00","1,180.00","1,216.95","35,05,936"
06-Dec-24,"1,236.05","1,266.85","1,205.15","1,210.65","38,15,815"
05-Dec-24,"1,270.00","1,270.60","1,220.00","1,229.60","45,22,158"
04-Dec-24,"1,320.00","1,330.05","1,251.90","1,260.85","51,09,679"
03-Dec-24,"1,344.00","1,365.00","1,305.00","1,312.80","76,85,780"
02-Dec-24,"1,360.55","1,447.70","1,301.90","1,327.95","1,96,79,024"
29-Nov-24,"1,149.00","1,368.00","1,138.50","1,323.90","2,37,71,119"
28-Nov-24,"1,020.00","1,087.20","1,014.00","1,087.20","78,40,622"
27-Nov-24,890,988.4,870.25,988.4,"1,09,95,732"
26-Nov-24,968.8,968.8,891.85,898.55,"75,26,340"
25-Nov-24,"1,080.20","1,141.00",933,968.8,"2,86,23,200"
22-Nov-24,"1,085.00","1,219.00","1,021.00","1,051.80","2,20,36,694"
21-Nov-24,"1,160.00","1,212.00","1,132.00","1,145.70","95,23,600"
19-Nov-24,"1,448.05","1,467.00","1,400.10","1,412.70","9,72,102"
18-Nov-24,"1,512.45","1,517.75","1,450.00","1,456.95","6,26,638"
14-Nov-24,"1,480.00","1,519.95","1,473.85","1,490.30","5,71,469"
13-Nov-24,"1,503.00","1,542.55","1,459.55","1,468.45","6,32,049"
12-Nov-24,"1,550.00","1,573.00","1,511.00","1,524.15","5,23,181"
11-Nov-24,"1,590.10","1,599.55","1,550.30","1,557.40","4,30,658"
08-Nov-24,"1,640.05","1,645.00","1,581.40","1,598.55","5,46,531"
07-Nov-24,"1,725.85","1,725.85","1,635.00","1,642.70","8,48,208"
06-Nov-24,"1,652.00","1,733.95","1,636.70","1,721.15","9,66,147"
05-Nov-24,"1,600.00","1,655.00","1,594.00","1,644.25","3,79,955"
04-Nov-24,"1,625.00","1,630.00","1,606.30","1,611.95","3,88,291"
01-Nov-24,"1,620.00","1,639.55","1,614.45","1,632.65","1,32,414"
31-Oct-24,"1,642.10","1,664.00","1,591.95","1,598.30","7,16,981"
30-Oct-24,"1,615.00","1,653.75","1,596.65","1,634.20","7,13,381"
29-Oct-24,"1,612.00","1,641.00","1,588.00","1,635.10","5,40,217"
28-Oct-24,"1,644.00","1,661.70","1,588.55","1,613.15","8,50,381"
25-Oct-24,"1,700.00","1,718.90","1,625.00","1,644.00","7,07,626"
24-Oct-24,"1,691.00","1,710.85","1,681.00","1,692.40","4,72,958"
23-Oct-24,"1,684.45","1,725.00","1,627.85","1,702.10","15,04,049"
22-Oct-24,"1,732.00","1,747.40","1,668.25","1,684.45","8,09,408"
21-Oct-24,"1,741.00","1,753.00","1,705.00","1,710.80","2,98,218"
18-Oct-24,"1,735.00","1,745.50","1,703.00","1,736.05","4,10,948"
17-Oct-24,"1,750.05","1,767.70","1,719.00","1,733.55","3,55,958"
16-Oct-24,"1,760.00","1,774.20","1,740.55","1,751.05","3,77,378"
15-Oct-24,"1,777.00","1,783.90","1,750.00","1,763.00","3,35,436"
14-Oct-24,"1,793.00","1,804.35","1,765.05","1,775.35","3,69,972"
11-Oct-24,"1,782.00","1,807.00","1,767.00","1,792.20","4,75,444"
10-Oct-24,"1,804.70","1,804.70","1,758.20","1,780.50","5,95,689"
09-Oct-24,"1,827.00","1,833.95","1,779.45","1,784.45","5,42,956"
08-Oct-24,"1,751.00","1,822.00","1,725.55","1,813.85","7,52,389"
07-Oct-24,"1,801.15","1,815.10","1,735.00","1,752.45","6,94,897"
04-Oct-24,"1,811.90","1,835.00","1,780.00","1,801.20","8,83,170"
03-Oct-24,"1,865.00","1,868.60","1,775.75","1,807.80","16,94,940"
01-Oct-24,"1,915.55","1,929.55","1,880.00","1,884.95","7,98,097"
30-Sep-24,"1,985.00","1,988.45","1,891.90","1,902.70","13,69,027"
27-Sep-24,"2,060.00","2,084.30","1,963.75","1,981.85","23,01,548"
26-Sep-24,"2,080.00","2,091.00","2,039.20","2,057.85","8,04,165"
25-Sep-24,"2,079.00","2,087.75","2,027.10","2,066.75","11,12,406"
24-Sep-24,"2,037.60","2,079.65","2,023.70","2,070.55","22,41,165"
23-Sep-24,"2,028.95","2,042.90","1,963.05","2,031.20","39,76,960"
20-Sep-24,"1,962.95","2,019.95","1,947.00","2,003.95","56,57,903"
19-Sep-24,"1,941.00","1,968.35","1,905.80","1,962.95","46,25,834"
18-Sep-24,"1,940.00","1,965.00","1,925.10","1,950.80","29,11,792"
17-Sep-24,"1,930.80","1,978.00","1,886.00","1,954.40","43,92,980"
16-Sep-24,"1,850.00","1,941.65","1,833.15","1,930.80","53,42,579"
13-Sep-24,"1,807.00","1,819.80","1,780.40","1,788.20","4,52,365"
12-Sep-24,"1,822.45","1,834.90","1,805.30","1,811.90","4,56,050"
11-Sep-24,"1,852.10","1,865.00","1,809.10","1,814.45","5,15,632"
10-Sep-24,"1,866.00","1,893.00","1,838.50","1,849.70","5,35,037"
09-Sep-24,"1,865.00","1,882.65","1,822.40","1,865.75","7,17,802"
06-Sep-24,"1,902.90","1,929.45","1,852.30","1,863.30","7,77,226"
05-Sep-24,"1,931.55","1,947.00","1,885.00","1,890.30","5,76,528"
04-Sep-24,"1,877.00","1,935.45","1,872.00","1,930.90","7,94,724"
03-Sep-24,"1,947.00","1,957.50","1,891.00","1,897.90","9,23,970"
02-Sep-24,"1,839.10","1,960.00","1,839.10","1,945.70","28,81,173"
30-Aug-24,"1,833.75","1,861.80","1,824.00","1,838.15","10,52,305"
29-Aug-24,"1,861.00","1,879.20","1,811.60","1,829.65","5,34,410"
28-Aug-24,"1,880.00","1,892.55","1,847.25","1,861.10","4,34,976"
27-Aug-24,"1,888.00","1,909.00","1,875.20","1,886.80","3,07,625"
26-Aug-24,"1,914.00","1,914.00","1,875.40","1,888.90","3,51,168"
23-Aug-24,"1,889.90","1,924.50","1,887.50","1,900.90","7,74,782"
22-Aug-24,"1,920.85","1,922.00","1,870.25","1,886.35","7,55,079"
21-Aug-24,"1,925.00","1,992.95","1,905.00","1,920.85","14,83,458"
20-Aug-24,"1,907.70","1,940.00","1,880.10","1,924.60","10,88,866"
19-Aug-24,"1,811.00","1,909.90","1,810.20","1,898.00","17,45,998"
16-Aug-24,"1,808.30","1,840.00","1,787.00","1,831.00","8,83,836"
14-Aug-24,"1,800.00","1,826.45","1,783.40","1,808.30","8,15,835"
13-Aug-24,"1,816.20","1,847.40","1,809.15","1,825.65","13,03,132"
12-Aug-24,"1,725.00","1,816.00","1,667.50","1,798.30","40,29,054"
09-Aug-24,"1,800.00","1,806.00","1,772.00","1,780.85","3,92,051"
